# dataset: cifar10
# methods: sensitivity, uniform
# num_epochs: 10
# coreset_size: 1024
# initial_sample_size: 256
# num_experiments: 50
# timestamp: 20250701_145947
seed,method,dataset,initial_val_acc,final_val_acc,test_acc,val_improvement,initial_steps,final_steps,total_budget,initial_samples,final_samples
14123456,uniform,cifar10,28.0,39.97,39.91,11.969999999999999,2560,10240,1024,256,1024
15123456,uniform,cifar10,27.7,40.12,40.89,12.419999999999998,2560,10240,1024,256,1024
16123456,uniform,cifar10,29.73,40.13,41.12,10.400000000000002,2560,10240,1024,256,1024
17123456,uniform,cifar10,26.5,39.1,39.48,12.600000000000001,2560,10240,1024,256,1024
18123456,uniform,cifar10,27.91,38.0,38.43,10.09,2560,10240,1024,256,1024
19123456,uniform,cifar10,29.26,37.49,37.56,8.23,2560,10240,1024,256,1024
20123456,uniform,cifar10,27.13,36.33,36.6,9.2,2560,10240,1024,256,1024
21123456,uniform,cifar10,27.98,38.52,39.56,10.540000000000003,2560,10240,1024,256,1024
22123456,uniform,cifar10,28.32,39.88,39.8,11.560000000000002,2560,10240,1024,256,1024
23123456,uniform,cifar10,23.11,40.67,41.32,17.560000000000002,2560,10240,1024,256,1024
24123456,uniform,cifar10,29.07,38.49,39.0,9.420000000000002,2560,10240,1024,256,1024
25123456,uniform,cifar10,24.28,41.13,40.74,16.85,2560,10240,1024,256,1024
26123456,uniform,cifar10,23.72,39.47,40.04,15.75,2560,10240,1024,256,1024
27123456,uniform,cifar10,24.55,35.95,37.32,11.400000000000002,2560,10240,1024,256,1024
28123456,uniform,cifar10,29.31,39.09,39.27,9.780000000000005,2560,10240,1024,256,1024
29123456,uniform,cifar10,29.67,37.89,38.5,8.219999999999999,2560,10240,1024,256,1024
30123456,uniform,cifar10,30.28,36.72,37.16,6.439999999999998,2560,10240,1024,256,1024
31123456,uniform,cifar10,28.61,40.74,40.8,12.130000000000003,2560,10240,1024,256,1024
32123456,uniform,cifar10,28.55,39.2,39.34,10.650000000000002,2560,10240,1024,256,1024
33123456,uniform,cifar10,25.98,40.5,40.42,14.52,2560,10240,1024,256,1024
34123456,uniform,cifar10,29.7,38.71,38.11,9.010000000000002,2560,10240,1024,256,1024
35123456,uniform,cifar10,22.0,43.88,43.03,21.880000000000003,2560,10240,1024,256,1024
36123456,uniform,cifar10,30.44,40.3,41.25,9.859999999999996,2560,10240,1024,256,1024
37123456,uniform,cifar10,28.38,39.22,39.14,10.84,2560,10240,1024,256,1024
38123456,uniform,cifar10,27.66,39.34,39.05,11.680000000000003,2560,10240,1024,256,1024
39123456,uniform,cifar10,24.77,40.0,40.49,15.23,2560,10240,1024,256,1024
40123456,uniform,cifar10,27.42,37.99,38.02,10.57,2560,10240,1024,256,1024
41123456,uniform,cifar10,29.71,41.98,41.98,12.269999999999996,2560,10240,1024,256,1024
42123456,uniform,cifar10,25.84,39.98,39.25,14.139999999999997,2560,10240,1024,256,1024
43123456,uniform,cifar10,29.68,38.5,38.63,8.82,2560,10240,1024,256,1024
44123456,uniform,cifar10,30.31,39.43,38.76,9.120000000000001,2560,10240,1024,256,1024
45123456,uniform,cifar10,28.51,41.19,40.63,12.679999999999996,2560,10240,1024,256,1024
46123456,uniform,cifar10,26.18,39.99,40.87,13.810000000000002,2560,10240,1024,256,1024
47123456,uniform,cifar10,29.23,39.84,40.03,10.610000000000003,2560,10240,1024,256,1024
48123456,uniform,cifar10,26.54,36.94,37.11,10.399999999999999,2560,10240,1024,256,1024
49123456,uniform,cifar10,24.76,38.68,39.41,13.919999999999998,2560,10240,1024,256,1024
